eps_ss,V,J
-0.001210876232102258,20.153607154968416,1.60080147552925
-0.0012073553051166613,20.175229750502652,1.60251335717617
-0.0013394783831956975,19.3882506892979,1.54020583821049
-0.0006789342039474128,20.15426502497978,1.8999331833596
-0.0006818398904354443,20.13399452163228,1.89802776482234
-0.0006824790882758762,20.129540647967332,1.89760910257546
-0.0002822296787910351,20.18867859230061,2.20312530736947
-0.00029862640272882286,20.054244044822255,2.18849049154751
-0.0002817174885085173,20.192911927413235,2.203586158084
-0.000285964675768379,40.312366455554624,2.19977152196566
-0.0002833442285996725,40.360079089286884,2.20212325723556
-0.0002836150802917511,40.3556081578588,2.20187990629865
-0.0006774593464145695,40.321250923169615,1.90090174318672
-0.0007931104352729997,38.764101562983655,1.82770140160052
-0.0006755417499603682,40.348070106278236,1.90216248450844
-0.0012093703972933048,40.311255342104886,1.60153325619785
-0.0012135516782281993,40.259976434822725,1.59950262807534
-0.0012096657235016297,40.310907099586494,1.60138969617106
-0.0012124969343908364,40.27290189134703,1.60001447228262
-0.0012119829186455502,40.27920334939538,1.60026400805709
-0.0012145277517434654,40.248020956439525,1.59902919452261
-0.00028414876743607396,40.355820072731824,2.20140059153176
-0.0002838432343107533,40.36537171484961,2.20167496676232
-0.00028933594722092354,40.274942607780694,2.19675460299492
-0.0006959451465131386,40.064459813990496,1.88883025717605
-0.0006812448402953893,40.26840839197366,1.89841767143326
-0.0006772810450752224,40.323743165894506,1.90101890087764
-0.0006769246005702095,20.16830733485895,1.9012531541898
-0.0006770777185469811,20.167236743440675,1.90115251908283
-0.0006730260370799865,20.195602839991285,1.90381891893777
-0.0003191255711041126,19.875724811819524,2.17050879046282
-0.00028767230428296454,20.130312177633368,2.19824216877846
-0.00028903654544023194,20.11911261409438,2.19702214263031
-0.0012057265217685375,20.181963324365082,1.60330626889489
-0.001213178633667697,20.136213582551168,1.5996836284841
-0.0012161210020747043,20.118195546689243,1.59825688823193
-0.0012155795885124057,20.124780830208504,1.59851926403856
-0.0012143909844298188,20.128786448456488,1.59909551845703
-0.0012159035657214965,20.11952616949495,1.59836225233225
-0.000674717088123354,20.183754318983212,1.9027051635691
-0.0006776194667979358,20.163449752847146,1.9007965436793
-0.0006754388443911377,20.178701345862216,1.90223018645024
-0.0002843549471605207,20.15760650776708,2.20121548313095
-0.0002860438668014948,20.14369971802096,2.19970054325705
-0.0002843001414535313,20.158058161748517,2.20126468419337
-0.0002877509066431119,40.28297963164346,2.19817183244791
-0.0002851707414432375,40.32544425558378,2.20048342022669
-0.00028281574901172385,40.359783031315224,2.20259825995602
-0.0006757305525992027,40.34542801695784,1.90203828270178
-0.0006803399993860308,40.28102712576952,1.89901086488045
-0.000678925900737755,40.30076312678058,1.89993863352512
-0.0012087640540108869,40.32197810559396,1.60182806839738
-0.0012149097415372083,40.243343682327385,1.59884397574492
-0.0012114232052957523,40.28606681984166,1.60053579928996
-0.0012115518767766482,40.28448882361099,1.60047331114959
-0.0012128351972579363,40.26875589514174,1.59985029209773
-0.0012092613960646534,40.31259352173119,1.6015862476331
-0.0012095903786595208,40.31183202304902,1.60142631983677
-0.0012135724175317496,40.25972234956681,1.59949256637317
-0.00028416443940547446,40.59279838400566,2.20138651993553
-0.0002826263719512958,40.46802577770542,2.20276853254799
-0.0002841722937250075,40.67868858087014,2.20137946775433
-0.0002845761956920103,40.36938074705512,2.20101688658087
-0.00028552220422408845,40.48974921037767,2.20016820690768
-0.001211581884344495,20.152553860114224,1.60045873880817
-0.0012078766126762666,40.32960033639234,1.60225971122238
-0.0012112137765778208,20.148260046304507,1.60063751481561
