V (m/s),delta_e (°),J,slope dCm/dα,AoA_trim (°)
40,5,1.6,-0.039806,-3.99
40,5,1.9,-0.037822,-3.854
40,5,2.2,-0.036531,-3.737
40,0,1.6,-0.039971,-0.384
40,0,1.9,-0.037431,-0.422
40,0,2.2,-0.037579,-0.527
40,-5,1.6,-0.041971,2.77
40,-5,1.9,-0.039643,2.799
40,-5,2.2,-0.038087,2.806
20,5,1.6,-0.039512,-4.176
20,5,1.9,-0.03684,-4.14
20,5,2.2,-0.035817,-4.0
20,0,1.6,-0.039197,-0.643
20,0,1.9,-0.035673,-0.911
20,0,2.2,-0.034611,-0.898
20,-5,1.6,-0.039458,3.003
20,-5,1.9,-0.036917,2.943
20,-5,2.2,-0.036042,2.958
